#Temps  x  y  z  vx  vy  vz  ax  ay  az
0.755000  -0.000372  -0.000714  0.000104  0.004110  -0.054780  0.012210  0.530000  1.280000  0.470000
0.792000  -0.000009  0.000162  0.000426  0.023720  -0.007420  0.029600  0.530000  1.280000  0.470000
0.794000  -0.000008  0.000164  0.000427  0.024780  -0.004860  0.030540  0.530000  1.280000  0.470000
0.795000  -0.000008  0.000165  0.000427  0.025310  -0.003580  0.031010  0.530000  1.280000  0.470000
0.795000  -0.000008  0.000165  0.000427  0.025310  -0.003580  0.031010  0.530000  1.280000  0.470000
0.795000  -0.000008  0.000165  0.000427  0.025310  -0.003580  0.031010  -0.260000  0.710000  0.030000
0.832000  -0.000186  0.000651  0.000448  0.015690  0.022690  0.032120  -0.260000  0.710000  0.030000
0.833000  -0.000186  0.000651  0.000448  0.015330  0.023350  0.032070  -0.360000  0.660000  -0.050000
0.853000  -0.000258  0.000783  0.000438  0.008130  0.036550  0.031070  -0.360000  0.660000  -0.050000
0.854000  -0.000258  0.000784  0.000438  0.007770  0.037210  0.031020  -0.360000  0.660000  -0.050000
0.855000  -0.000258  0.000784  0.000438  0.007410  0.037870  0.030970  -0.360000  0.660000  -0.050000
0.871000  -0.000373  0.000843  0.000452  -0.006990  0.045230  0.032730  -0.900000  0.460000  0.110000
0.872000  -0.000374  0.000843  0.000452  -0.007890  0.045690  0.032840  -0.900000  0.460000  0.110000
0.911000  -0.001058  0.001193  0.000536  -0.042990  0.063630  0.037130  -0.900000  0.460000  0.110000
0.912000  -0.001059  0.001193  0.000536  -0.043890  0.064090  0.037240  -0.900000  0.460000  0.110000
0.912000  -0.001059  0.001193  0.000536  -0.043890  0.064090  0.037240  -0.900000  0.460000  0.110000
0.913000  -0.001059  0.001193  0.000536  -0.044790  0.064550  0.037350  -0.900000  0.460000  0.110000
0.913000  -0.001059  0.001193  0.000536  -0.044790  0.064550  0.037350  -1.150000  0.090000  -0.350000
0.951000  -0.001890  0.001258  0.000283  -0.088490  0.067970  0.024050  -1.150000  0.090000  -0.350000
0.953000  -0.001892  0.001258  0.000282  -0.091210  0.068110  0.022990  -1.360000  0.070000  -0.530000
0.971000  -0.002113  0.001270  0.000196  -0.115690  0.069370  0.013450  -1.360000  0.070000  -0.530000
0.973000  -0.002115  0.001270  0.000195  -0.118410  0.069510  0.012390  -1.360000  0.070000  -0.530000
0.975000  -0.002118  0.001270  0.000194  -0.121130  0.069650  0.011330  -1.360000  0.070000  -0.530000
0.991000  -0.002292  0.001279  0.000126  -0.142890  0.070770  0.002850  -1.360000  0.070000  -0.530000
0.992000  -0.002292  0.001279  0.000126  -0.142960  0.070660  0.002990  -0.070000  -0.110000  0.140000
1.029000  -0.002340  0.001204  0.000222  -0.145550  0.066590  0.008170  -0.070000  -0.110000  0.140000
1.030000  -0.002340  0.001204  0.000222  -0.145620  0.066480  0.008310  -0.070000  -0.110000  0.140000
1.030000  -0.002340  0.001204  0.000222  -0.145620  0.066480  0.008310  -0.070000  -0.110000  0.140000
1.031000  -0.002340  0.001204  0.000222  -0.145690  0.066370  0.008450  -0.070000  -0.110000  0.140000
1.031000  -0.002340  0.001204  0.000222  -0.145690  0.066370  0.008450  0.440000  -0.710000  -0.150000
1.070000  -0.002082  0.000702  0.000055  -0.132430  0.040630  -0.000130  0.340000  -0.660000  -0.220000
1.072000  -0.002081  0.000700  0.000054  -0.131750  0.039310  -0.000570  0.340000  -0.660000  -0.220000
1.091000  -0.002020  0.000581  0.000015  -0.125290  0.026770  -0.004750  0.340000  -0.660000  -0.220000
1.092000  -0.002019  0.000581  0.000015  -0.124950  0.026110  -0.004970  0.340000  -0.660000  -0.220000
1.093000  -0.002019  0.000581  0.000015  -0.124610  0.025450  -0.005190  0.340000  -0.660000  -0.220000
1.110000  -0.001908  0.000589  0.000002  -0.111520  0.026470  -0.006720  0.770000  0.060000  -0.090000
1.111000  -0.001908  0.000589  0.000001  -0.110750  0.026530  -0.006810  0.770000  0.060000  -0.090000
1.149000  -0.001352  0.000633  -0.000064  -0.081490  0.028810  -0.010230  0.770000  0.060000  -0.090000
1.150000  -0.001351  0.000633  -0.000064  -0.080720  0.028870  -0.010320  0.770000  0.060000  -0.090000
