#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.851,-0.06,0.63,0.74,0.17,-0.15,-0.12,-0.05,0.18,0.15,0.00
0.852,-0.03,0.63,0.74,0.17,-0.15,-0.12,-0.05,0.18,0.15,0.00
0.853,0.02,0.64,0.77,0.17,-0.15,-0.12,-0.05,0.18,0.15,0.00
0.87,0.02,0.64,0.77,0.06,-0.12,-0.26,-0.05,0.18,0.15,0.00
0.871,0.02,0.64,0.77,0.06,-0.12,-0.26,-0.08,0.08,0.09,0.00
0.909,0.02,0.64,0.77,0.06,-0.12,-0.26,0.03,0.05,-0.00,0.00
0.91,-0.02,0.65,0.78,0.06,-0.12,-0.26,0.03,0.05,-0.00,0.00
0.91,-0.03,0.66,0.78,0.06,-0.12,-0.26,0.03,0.05,-0.00,0.00
0.91,-0.03,0.67,0.76,0.06,-0.12,-0.26,0.03,0.05,-0.00,0.00
0.911,-0.03,0.67,0.76,0.45,-0.03,-0.01,0.03,0.05,-0.00,0.00
0.949,-0.03,0.67,0.76,0.45,-0.03,-0.01,0.16,-0.10,-0.00,0.00
0.95,-0.03,0.67,0.76,0.40,-0.07,0.03,0.16,-0.10,-0.00,0.00
0.968,-0.03,0.66,0.76,0.40,-0.07,0.03,0.16,-0.10,-0.00,0.00
0.969,-0.04,0.65,0.77,0.40,-0.07,0.03,0.16,-0.10,-0.00,0.00
0.97,-0.05,0.64,0.75,0.40,-0.07,0.03,0.16,-0.10,-0.00,0.00
0.988,-0.05,0.64,0.75,0.40,-0.07,0.03,0.05,0.02,-0.01,0.00
0.988,-0.05,0.64,0.75,0.24,0.10,0.07,0.05,0.02,-0.01,0.00
1.028,-0.05,0.64,0.75,0.24,0.10,0.07,-0.04,0.11,-0.01,0.00
1.03,-0.07,0.64,0.75,0.24,0.10,0.07,-0.04,0.11,-0.01,0.00
1.031,-0.07,0.65,0.76,0.24,0.10,0.07,-0.04,0.11,-0.01,0.00
1.031,-0.08,0.65,0.76,0.24,0.10,0.07,-0.04,0.11,-0.01,0.00
1.032,-0.08,0.65,0.76,0.06,-0.06,-0.01,-0.04,0.11,-0.01,0.00
1.071,-0.08,0.65,0.76,0.06,-0.06,-0.01,-0.02,0.07,0.04,0.00
1.072,-0.08,0.65,0.76,0.07,-0.05,-0.01,-0.02,0.07,0.04,0.00
1.148,-0.07,0.66,0.79,0.07,-0.05,-0.01,-0.02,0.07,0.04,0.00
1.151,-0.06,0.67,0.79,0.07,-0.05,-0.01,-0.02,0.07,0.04,0.00
1.152,-0.07,0.66,0.78,0.07,-0.05,-0.01,-0.02,0.07,0.04,0.00
1.153,-0.07,0.66,0.78,-0.12,0.03,0.09,-0.02,0.07,0.04,0.00
1.154,-0.07,0.66,0.78,-0.12,0.03,0.09,0.00,0.15,0.09,0.00
1.155,-0.07,0.66,0.78,-0.01,0.12,0.19,0.00,0.15,0.09,0.00
1.156,-0.07,0.66,0.78,-0.01,0.12,0.19,0.03,0.20,0.13,0.00
1.157,-0.06,0.66,0.77,-0.01,0.12,0.19,0.03,0.20,0.13,0.00
1.158,-0.07,0.67,0.76,-0.01,0.12,0.19,0.03,0.20,0.13,0.00
1.159,-0.07,0.67,0.75,-0.01,0.12,0.19,0.03,0.20,0.13,0.00
1.185,-0.07,0.67,0.75,0.02,0.11,0.20,0.03,0.20,0.13,0.00
1.185,-0.07,0.67,0.75,0.02,0.11,0.20,0.02,0.24,0.16,0.00
1.204,-0.09,0.67,0.77,0.02,0.11,0.20,0.02,0.24,0.16,0.00
1.205,-0.10,0.65,0.80,0.02,0.11,0.20,0.02,0.24,0.16,0.00
1.205,-0.08,0.65,0.77,0.02,0.11,0.20,0.02,0.24,0.16,0.00
1.225,-0.08,0.65,0.77,0.02,0.11,0.20,-0.01,0.35,0.22,0.00
1.225,-0.08,0.65,0.77,-0.02,0.13,0.04,-0.01,0.35,0.22,0.00
1.265,-0.08,0.65,0.77,-0.02,0.13,0.04,-0.10,0.30,0.26,0.00
1.266,-0.07,0.66,0.71,-0.02,0.13,0.04,-0.10,0.30,0.26,0.00
1.266,-0.09,0.65,0.69,-0.02,0.13,0.04,-0.10,0.30,0.26,0.00
1.267,-0.11,0.60,0.75,-0.02,0.13,0.04,-0.10,0.30,0.26,0.00
1.268,-0.11,0.60,0.75,-0.09,0.03,0.02,-0.10,0.30,0.26,0.00
1.304,-0.11,0.60,0.75,-0.09,0.03,0.02,-0.23,0.33,0.43,0.00
1.305,-0.11,0.60,0.75,-0.10,0.08,-0.03,-0.23,0.33,0.43,0.00
1.324,-0.08,0.61,0.78,-0.10,0.08,-0.03,-0.23,0.33,0.43,0.00
1.325,-0.03,0.65,0.78,-0.10,0.08,-0.03,-0.23,0.33,0.43,0.00
1.326,-0.04,0.66,0.80,-0.10,0.08,-0.03,-0.23,0.33,0.43,0.00
