time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.133,0.09,0.63,0.81,0.55,-0.40,0.41,-0.36,0.59,0.49,0.00
1.137,0.09,0.63,0.81,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.138,0.07,0.56,0.87,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.139,0.07,0.49,0.86,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.14,0.06,0.54,0.82,0.55,-0.40,0.41,-0.30,0.85,0.62,0.00
1.169,0.06,0.54,0.82,0.55,-0.40,0.41,-0.42,0.56,0.78,0.00
1.17,0.06,0.54,0.82,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.188,0.01,0.58,0.90,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.188,0.03,0.51,0.99,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.189,-0.02,0.47,0.94,0.53,-0.26,0.30,-0.42,0.56,0.78,0.00
1.208,-0.02,0.47,0.94,0.53,-0.26,0.30,-0.33,0.62,0.73,0.00
1.209,-0.02,0.47,0.94,-0.02,-0.24,1.07,-0.33,0.62,0.73,0.00
1.248,-0.02,0.47,0.94,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.25,-0.05,0.45,0.83,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.251,-0.07,0.49,0.79,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.251,-0.14,0.54,0.78,-0.02,-0.24,1.07,-0.00,0.66,0.45,0.00
1.252,-0.14,0.54,0.78,-0.77,-0.47,-0.32,-0.00,0.66,0.45,0.00
1.287,-0.14,0.54,0.78,-0.77,-0.47,-0.32,0.07,0.51,0.37,0.00
1.289,-0.14,0.54,0.78,-0.66,-0.48,-0.29,0.07,0.51,0.37,0.00
1.307,-0.17,0.54,0.80,-0.66,-0.48,-0.29,0.07,0.51,0.37,0.00
1.308,-0.09,0.54,0.81,-0.66,-0.48,-0.29,0.07,0.51,0.37,0.00
1.309,-0.14,0.55,0.77,-0.66,-0.48,-0.29,0.07,0.51,0.37,0.00
1.327,-0.14,0.55,0.77,-0.66,-0.48,-0.29,-0.04,0.67,0.47,0.00
1.329,-0.14,0.55,0.77,-0.98,0.03,-0.32,-0.04,0.67,0.47,0.00
1.367,-0.14,0.55,0.77,-0.98,0.03,-0.32,-0.27,0.61,0.39,0.00
1.368,-0.17,0.54,0.76,-0.98,0.03,-0.32,-0.27,0.61,0.39,0.00
1.369,-0.19,0.53,0.80,-0.98,0.03,-0.32,-0.27,0.61,0.39,0.00
1.37,-0.19,0.52,0.83,-0.98,0.03,-0.32,-0.27,0.61,0.39,0.00
1.371,-0.19,0.52,0.83,-1.30,-0.06,-0.34,-0.27,0.61,0.39,0.00
1.406,-0.19,0.52,0.83,-1.30,-0.06,-0.34,-0.28,0.41,0.37,0.00
1.407,-0.19,0.52,0.83,-1.20,0.02,-0.38,-0.28,0.41,0.37,0.00
1.426,-0.14,0.54,0.84,-1.20,0.02,-0.38,-0.28,0.41,0.37,0.00
1.427,-0.12,0.56,0.82,-1.20,0.02,-0.38,-0.28,0.41,0.37,0.00
1.428,-0.13,0.57,0.80,-1.20,0.02,-0.38,-0.28,0.41,0.37,0.00
1.447,-0.13,0.57,0.80,-0.66,0.30,-0.14,-0.28,0.41,0.37,0.00
1.448,-0.13,0.57,0.80,-0.66,0.30,-0.14,-0.02,0.29,0.47,0.00
1.486,-0.13,0.57,0.80,-0.66,0.30,-0.14,-0.13,0.27,0.42,0.00
1.487,-0.14,0.57,0.81,-0.66,0.30,-0.14,-0.13,0.27,0.42,0.00
1.488,-0.16,0.54,0.85,-0.66,0.30,-0.14,-0.13,0.27,0.42,0.00
1.488,-0.18,0.48,0.88,-0.66,0.30,-0.14,-0.13,0.27,0.42,0.00
1.489,-0.18,0.48,0.88,-0.93,0.08,0.10,-0.13,0.27,0.42,0.00
1.524,-0.18,0.48,0.88,-0.83,0.13,0.07,-0.13,0.27,0.42,0.00
1.526,-0.18,0.48,0.88,-0.83,0.13,0.07,-0.22,0.48,0.41,0.00
1.544,-0.18,0.46,0.90,-0.83,0.13,0.07,-0.22,0.48,0.41,0.00
1.545,-0.16,0.49,0.83,-0.83,0.13,0.07,-0.22,0.48,0.41,0.00
1.546,-0.15,0.51,0.76,-0.83,0.13,0.07,-0.22,0.48,0.41,0.00
1.566,-0.15,0.51,0.76,-0.83,0.13,0.07,0.04,0.69,0.61,0.00
1.568,-0.15,0.51,0.76,-0.74,-0.35,-0.07,0.04,0.69,0.61,0.00
1.604,-0.15,0.51,0.76,-0.74,-0.35,-0.07,-0.03,0.50,0.69,0.00
1.605,-0.17,0.49,0.76,-0.74,-0.35,-0.07,-0.03,0.50,0.69,0.00
1.606,-0.17,0.47,0.82,-0.74,-0.35,-0.07,-0.03,0.50,0.69,0.00
1.607,-0.15,0.46,0.84,-0.74,-0.35,-0.07,-0.03,0.50,0.69,0.00
1.607,-0.15,0.46,0.84,-0.70,-0.43,-0.26,-0.03,0.50,0.69,0.00
1.643,-0.15,0.46,0.84,-0.70,-0.43,-0.26,-0.15,0.46,0.87,0.00
1.645,-0.15,0.46,0.84,-0.70,-0.40,-0.27,-0.15,0.46,0.87,0.00
1.663,-0.11,0.51,0.83,-0.70,-0.40,-0.27,-0.15,0.46,0.87,0.00
1.665,-0.06,0.57,0.81,-0.70,-0.40,-0.27,-0.15,0.46,0.87,0.00
1.665,-0.06,0.59,0.83,-0.70,-0.40,-0.27,-0.15,0.46,0.87,0.00
1.683,-0.06,0.59,0.83,-0.70,-0.40,-0.27,-0.30,0.53,0.92,0.00
1.684,-0.06,0.59,0.83,0.11,0.44,-0.15,-0.30,0.53,0.92,0.00
1.722,-0.06,0.59,0.83,0.11,0.44,-0.15,-0.66,0.59,0.99,0.00
1.724,-0.08,0.57,0.83,0.11,0.44,-0.15,-0.66,0.59,0.99,0.00
1.724,-0.12,0.51,0.85,0.11,0.44,-0.15,-0.66,0.59,0.99,0.00
1.725,-0.21,0.48,0.92,0.11,0.44,-0.15,-0.66,0.59,0.99,0.00
1.726,-0.21,0.48,0.92,-0.45,0.28,0.17,-0.66,0.59,0.99,0.00
1.762,-0.21,0.48,0.92,-0.36,0.42,0.09,-0.66,0.59,0.99,0.00
1.763,-0.21,0.48,0.92,-0.36,0.42,0.09,-0.59,1.01,1.37,0.00
1.781,-0.18,0.55,0.86,-0.36,0.42,0.09,-0.59,1.01,1.37,0.00
1.783,-0.12,0.63,0.78,-0.36,0.42,0.09,-0.59,1.01,1.37,0.00
1.784,-0.11,0.55,0.86,-0.36,0.42,0.09,-0.59,1.01,1.37,0.00
1.801,-0.11,0.55,0.86,-0.36,0.42,0.09,-0.26,0.72,1.28,0.00
1.802,-0.11,0.55,0.86,-0.35,0.94,-0.25,-0.26,0.72,1.28,0.00
1.84,-0.11,0.55,0.86,0.91,1.01,0.92,-0.26,0.72,1.28,0.00
1.841,-0.11,0.55,0.86,0.91,1.01,0.92,-0.20,0.79,1.83,0.00
1.841,-0.18,0.46,0.95,0.91,1.01,0.92,-0.20,0.79,1.83,0.00
1.842,-0.07,0.54,0.98,0.91,1.01,0.92,-0.20,0.79,1.83,0.00
1.842,0.24,0.76,0.95,0.91,1.01,0.92,-0.20,0.79,1.83,0.00
1.88,0.24,0.76,0.95,0.67,0.80,0.97,-0.20,0.79,1.83,0.00
1.881,0.24,0.76,0.95,0.67,0.80,0.97,0.39,0.36,1.76,0.00
1.9,0.48,0.86,0.93,0.67,0.80,0.97,0.39,0.36,1.76,0.00
1.901,0.44,0.82,0.91,0.67,0.80,0.97,0.39,0.36,1.76,0.00
1.901,0.16,0.69,0.95,0.67,0.80,0.97,0.39,0.36,1.76,0.00
1.919,0.16,0.69,0.95,4.03,2.53,0.80,0.39,0.36,1.76,0.00
1.92,0.16,0.69,0.95,4.03,2.53,0.80,0.60,-0.04,0.25,0.00
1.959,0.16,0.69,0.95,4.03,2.53,0.80,0.75,-0.29,-0.19,0.00
1.96,0.02,0.58,0.91,4.03,2.53,0.80,0.75,-0.29,-0.19,0.00
1.961,-0.03,0.53,0.80,4.03,2.53,0.80,0.75,-0.29,-0.19,0.00
1.962,-0.04,0.52,0.74,4.03,2.53,0.80,0.75,-0.29,-0.19,0.00
1.962,-0.04,0.52,0.74,0.24,-0.12,-0.15,0.75,-0.29,-0.19,0.00
1.998,-0.04,0.52,0.74,0.24,-0.12,-0.15,0.59,-0.70,-0.03,0.00
1.999,-0.04,0.52,0.74,0.03,-0.30,-0.03,0.59,-0.70,-0.03,0.00
2.018,-0.03,0.51,0.76,0.03,-0.30,-0.03,0.59,-0.70,-0.03,0.00
2.019,-0.02,0.46,0.86,0.03,-0.30,-0.03,0.59,-0.70,-0.03,0.00
2.02,-0.06,0.38,0.88,0.03,-0.30,-0.03,0.59,-0.70,-0.03,0.00
2.038,-0.06,0.38,0.88,-0.33,-1.28,0.21,0.59,-0.70,-0.03,0.00
2.039,-0.06,0.38,0.88,-0.33,-1.28,0.21,0.29,-0.71,-0.20,0.00
2.082,-0.06,0.38,0.88,-1.74,-2.17,-0.01,0.29,-0.71,-0.20,0.00
2.083,-0.06,0.38,0.88,-1.74,-2.17,-0.01,0.21,-0.09,-0.18,0.00
2.083,-0.14,0.34,0.85,-1.74,-2.17,-0.01,0.21,-0.09,-0.18,0.00
2.083,-0.23,0.35,0.80,-1.74,-2.17,-0.01,0.21,-0.09,-0.18,0.00
2.084,-0.19,0.39,0.77,-1.74,-2.17,-0.01,0.21,-0.09,-0.18,0.00
2.116,-0.19,0.39,0.77,-1.74,-2.17,-0.01,0.01,0.17,0.17,0.00
2.117,-0.19,0.39,0.77,-1.69,-2.12,-0.01,0.01,0.17,0.17,0.00
2.138,-0.11,0.46,0.80,-1.69,-2.12,-0.01,0.01,0.17,0.17,0.00
2.14,-0.10,0.45,0.84,-1.69,-2.12,-0.01,0.01,0.17,0.17,0.00
2.141,-0.14,0.43,0.86,-1.69,-2.12,-0.01,0.01,0.17,0.17,0.00
2.157,-0.14,0.43,0.86,-1.69,-2.12,-0.01,-0.05,0.17,0.25,0.00
2.159,-0.14,0.43,0.86,-0.98,-1.21,0.23,-0.05,0.17,0.25,0.00
2.196,-0.14,0.43,0.86,-0.52,-0.24,0.40,-0.05,0.17,0.25,0.00
2.2,-0.14,0.43,0.86,-0.52,-0.24,0.40,-0.17,0.44,0.57,0.00
2.201,-0.14,0.47,0.84,-0.52,-0.24,0.40,-0.17,0.44,0.57,0.00
2.202,-0.06,0.53,0.86,-0.52,-0.24,0.40,-0.17,0.44,0.57,0.00
2.203,-0.02,0.62,0.87,-0.52,-0.24,0.40,-0.17,0.44,0.57,0.00
2.235,-0.02,0.62,0.87,-0.52,-0.24,0.40,-0.25,0.69,0.84,0.00
2.236,-0.02,0.62,0.87,-0.48,-0.17,0.35,-0.25,0.69,0.84,0.00
2.255,0.03,0.62,0.83,-0.48,-0.17,0.35,-0.25,0.69,0.84,0.00
2.255,0.09,0.60,0.91,-0.48,-0.17,0.35,-0.25,0.69,0.84,0.00
2.256,0.09,0.63,0.96,-0.48,-0.17,0.35,-0.25,0.69,0.84,0.00
2.276,0.09,0.63,0.96,-0.48,-0.17,0.35,-0.12,0.70,0.87,0.00
